game_idx,round,player1,player2,outcome,,, 
1,1,R,S,p1,,,
1,2,P,R,p1,,,
1,3,S,P,p1,,,
1,4,R,P,p2,,,
1,5,S,R,p2,,,
1,6,P,P,tie,,,
2,1,S,S,tie,,,
2,2,P,S,p2,,,
2,3,R,R,tie,,,
2,4,R,P,p2,,,
2,5,S,P,p1,,,
2,6,P,R,p1,,,
3,1,R,S,p1,,,
3,2,R,S,p1,,,
3,3,S,S,tie,,,
3,4,P,S,p2,,,
3,5,R,P,p2,,,
4,1,S,P,p1,,,
4,2,S,R,p2,,,
4,3,R,R,tie,,,
4,4,P,P,tie,,,
5,5,P,S,p2,,,
5,6,P,S,p2,,,
5,7,P,S,p2,,,
5,8,R,S,p1,,,
5,9,P,P,tie,,,
6,1,P,S,p2,,,
6,2,R,S,p1,,,
6,3,P,P,tie,,,
6,4,R,S,p1,,,
7,1,P,P,tie,,,
7,2,R,S,p1,,,
7,3,S,P,p1,,,
7,4,S,R,p2,,,
7,5,R,R,tie,,,
8,1,S,P,p1,,,
8,2,R,P,p2,,,
8,3,S,P,p1,,,
8,4,P,R,p1,,,
8,5,R,S,p1,,,
8,6,S,P,p1,,,
8,7,S,R,p2,,,
8,8,S,R,p2,,,
9,1,S,R,p2,,,
9,2,P,R,p1,,,
9,3,S,S,tie,,,
9,4,S,R,p2,,,
9,5,R,R,tie,,,
10,1,P,P,tie,,,
10,2,R,S,p1,,,
10,3,R,P,p2,,,
10,4,P,P,tie,,,
10,5,P,S,p2,,,
10,6,R,S,p1,,,
10,7,R,P,p2,,,
11,1,S,P,p1,,,
11,2,S,P,p1,,,
11,3,R,R,tie,,,
11,4,S,P,p1,,,
11,5,R,S,p1,,,
11,6,S,R,p2,,,
12,1,R,S,p1,,,
12,2,P,S,p2,,,
12,3,P,P,tie,,,
12,4,P,S,p1,,,
13,1,P,P,tie,,,
13,2,S,R,p2,,,
13,3,S,S,tie,,,
13,4,P,S,p2,,,
14,1,R,P,p2,,,
14,2,P,S,p2,,,
14,3,R,S,p1,,,
14,4,S,R,p2,,,
14,5,P,P,tie,,,
14,6,P,S,p2,,,
14,7,R,S,p1,,,
14,8,P,R,p1,,,
15,1,S,P,p1,,,
15,2,R,P,p2,,,
15,3,R,R,tie,,,
15,4,S,R,p2,,,
16,1,R,S,p1,,,
16,2,P,R,p1,,,
16,3,P,P,tie,,,
16,4,R,P,p2,,,
17,1,S,R,p2,,,
17,2,R,S,p1,,,
17,3,S,P,p1,,,
17,4,R,S,p1,,,
18,1,S,R,p2,,,
18,2,S,R,p2,,,
18,3,R,S,p1,,,
18,4,R,S,p1,,,
18,5,R,P,p2,,,
18,6,R,R,tie,,,
19,1,S,R,p2,,,
19,2,S,P,p1,,,
19,3,P,S,p2,,,
19,4,P,R,p1,,,
19,5,S,P,p1,,,
19,6,S,S,tie,,,
19,7,S,R,p2,,,
19,8,R,R,tie,,,
19,9,R,S,p1,,,
19,10,P,P,tie,,,
19,11,S,P,p1,,,
20,1,R,S,p1,,,
20,2,R,R,tie,,,
20,3,P,R,p1,,,
20,4,S,P,p1,,,
20,5,S,S,tie,,,
21,1,S,S,tie,,,
21,2,R,R,tie,,,
21,3,S,R,p2,,,
21,4,P,P,tie,,,
22,1,R,R,tie,,,
22,2,S,R,p2,,,
