game_idx,round,player1,player2,outcome,prev_outcome
1,1,R,S,p1,
1,2,P,R,p1,p1
1,3,S,P,p1,p1
1,4,R,P,p2,p1
1,5,S,R,p2,p2
1,6,P,P,tie,p2
2,1,S,S,tie,tie
2,2,P,S,p2,tie
2,3,R,R,tie,p2
2,4,R,P,p2,tie
2,5,S,P,p1,p2
2,6,P,R,p1,p1
3,1,R,S,p1,p1
3,2,R,S,p1,p1
3,3,S,S,tie,p1
3,4,P,S,p2,tie
3,5,R,P,p2,p2
4,1,S,P,p1,p2
4,2,S,R,p2,p1
4,3,R,R,tie,p2
4,4,P,P,tie,tie
5,5,P,S,p2,tie
5,6,P,S,p2,p2
5,7,P,S,p2,p2
5,8,R,S,p1,p2
5,9,P,P,tie,p1
6,1,P,S,p2,tie
6,2,R,S,p1,p2
6,3,P,P,tie,p1
6,4,R,S,p1,tie
7,1,P,P,tie,p1
7,2,R,S,p1,tie
7,3,S,P,p1,p1
7,4,S,R,p2,p1
7,5,R,R,tie,p2
8,1,S,P,p1,tie
8,2,R,P,p2,p1
8,3,S,P,p1,p2
8,4,P,R,p1,p1
8,5,R,S,p1,p1
8,6,S,P,p1,p1
8,7,S,R,p2,p1
8,8,S,R,p2,p2
9,1,S,R,p2,p2
9,2,P,R,p1,p2
9,3,S,S,tie,p1
9,4,S,R,p2,tie
9,5,R,R,tie,p2
10,1,P,P,tie,tie
10,2,R,S,p1,tie
10,3,R,P,p2,p1
10,4,P,P,tie,p2
10,5,P,S,p2,tie
10,6,R,S,p1,p2
10,7,R,P,p2,p1
11,1,S,P,p1,p2
11,2,S,P,p1,p1
11,3,R,R,tie,p1
11,4,S,P,p1,tie
11,5,R,S,p1,p1
11,6,S,R,p2,p1
12,1,R,S,p1,p2
12,2,P,S,p2,p1
12,3,P,P,tie,p2
12,4,P,S,p1,tie
13,1,P,P,tie,p1
13,2,S,R,p2,tie
13,3,S,S,tie,p2
13,4,P,S,p2,tie
14,1,R,P,p2,p2
14,2,P,S,p2,p2
14,3,R,S,p1,p2
14,4,S,R,p2,p1
14,5,P,P,tie,p2
14,6,P,S,p2,tie
14,7,R,S,p1,p2
14,8,P,R,p1,p1
15,1,S,P,p1,p1
15,2,R,P,p2,p1
15,3,R,R,tie,p2
15,4,S,R,p2,tie
16,1,R,S,p1,p2
16,2,P,R,p1,p1
16,3,P,P,tie,p1
16,4,R,P,p2,tie
17,1,S,R,p2,p2
17,2,R,S,p1,p2
17,3,S,P,p1,p1
17,4,R,S,p1,p1
18,1,S,R,p2,p1
18,2,S,R,p2,p2
18,3,R,S,p1,p2
18,4,R,S,p1,p1
18,5,R,P,p2,p1
18,6,R,R,tie,p2
19,1,S,R,p2,tie
19,2,S,P,p1,p2
19,3,P,S,p2,p1
19,4,P,R,p1,p2
19,5,S,P,p1,p1
19,6,S,S,tie,p1
19,7,S,R,p2,tie
19,8,R,R,tie,p2
19,9,R,S,p1,tie
19,10,P,P,tie,p1
19,11,S,P,p1,tie
20,1,R,S,p1,p1
20,2,R,R,tie,p1
20,3,P,R,p1,tie
20,4,S,P,p1,p1
20,5,S,S,tie,p1
21,1,S,S,tie,tie
21,2,R,R,tie,tie
21,3,S,R,p2,tie
21,4,P,P,tie,p2
22,1,R,R,tie,tie
22,2,S,R,p2,tie
